n,grid,goals,static,moving,BFS_steps
5,  0 1 2 3 4\n0 S . . X .\n1 2 . 3 . .\n2 . . . . .\n3 . . . 1 X\n4 . . M M X,"{1: (3, 3), 2: (1, 0), 3: (1, 2)}","[(4, 4), (3, 4), (0, 3)]","[(4, 2), (4, 3)]",13
5,  0 1 2 3 4\n0 S . . 2 X\n1 . . X 3 .\n2 . 1 . . M\n3 . . . . M\n4 X . . . .,"{1: (2, 1), 2: (0, 3), 3: (1, 3)}","[(1, 2), (4, 0), (0, 4)]","[(3, 4), (2, 4)]",8
5,  0 1 2 3 4\n0 S X . . .\n1 . . . M .\n2 . . . M .\n3 3 . 2 M M\n4 . . . 1 X,"{1: (4, 3), 2: (3, 2), 3: (3, 0)}","[(0, 1), (4, 4)]","[(3, 4), (3, 3), (2, 3), (1, 3)]",11
6,  0 1 2 3 4 5\n0 S X . . . .\n1 . . M M . .\n2 . . M M . X\n3 1 . . . X .\n4 . . . . X X\n5 . . 3 . 2 X,"{1: (3, 0), 2: (5, 4), 3: (5, 2)}","[(3, 4), (4, 4), (5, 5), (4, 5), (2, 5), (0, 1)]","[(2, 2), (2, 3), (1, 3), (1, 2)]",11
6,  0 1 2 3 4 5\n0 S . . M M .\n1 . . . M . .\n2 . . . . . .\n3 X . X . . .\n4 . 1 . 2 . .\n5 X . . . . 3,"{1: (4, 1), 2: (4, 3), 3: (5, 5)}","[(3, 0), (3, 2), (5, 0)]","[(1, 3), (0, 3), (0, 4)]",10
6,  0 1 2 3 4 5\n0 S . . . 2 .\n1 . . . . . .\n2 . . . X . .\n3 . . . . . 3\n4 . M M . . .\n5 . M M . X 1,"{1: (5, 5), 2: (0, 4), 3: (3, 5)}","[(5, 4), (2, 3)]","[(4, 1), (4, 2), (5, 2), (5, 1)]",20
6,  0 1 2 3 4 5\n0 S . . . . .\n1 . 2 . . X .\n2 . . . . 1 .\n3 . . 3 . . .\n4 . M . . . .\n5 . M . X . .,"{1: (2, 4), 2: (1, 1), 3: (3, 2)}","[(5, 3), (1, 4)]","[(5, 1), (4, 1)]",13
6,  0 1 2 3 4 5\n0 S . . X . .\n1 . . . . . .\n2 . . . X 2 .\n3 X . . . . .\n4 . . . M . 1\n5 3 . . M M .,"{1: (4, 5), 2: (2, 4), 3: (5, 0)}","[(2, 3), (0, 3), (3, 0)]","[(4, 3), (5, 3), (5, 4)]",19
6,  0 1 2 3 4 5\n0 S . . X . .\n1 . . . . . .\n2 . X . . X .\n3 . X . M M .\n4 1 . . . . .\n5 . 2 . X 3 .,"{1: (4, 0), 2: (5, 1), 3: (5, 4)}","[(2, 1), (3, 1), (5, 3), (2, 4), (0, 3)]","[(3, 4), (3, 3)]",11
6,  0 1 2 3 4 5\n0 S . . . . .\n1 . 3 X 1 X .\n2 . . M M X .\n3 . . . M . .\n4 . . . X . .\n5 . . 2 . . X,"{1: (1, 3), 2: (5, 2), 3: (1, 1)}","[(5, 5), (4, 3), (2, 4), (1, 4), (1, 2)]","[(2, 2), (2, 3), (3, 3)]",14
6,  0 1 2 3 4 5\n0 S . . . 1 .\n1 M 2 . . . .\n2 M . 3 . . .\n3 M . . . . .\n4 M . . X . .\n5 . . . X X .,"{1: (0, 4), 2: (1, 1), 3: (2, 2)}","[(4, 3), (5, 3), (5, 4)]","[(1, 0), (2, 0), (3, 0), (4, 0)]",10
6,  0 1 2 3 4 5\n0 S . . . . .\n1 X X . . . .\n2 . . . . . .\n3 . 2 1 . M M\n4 . . . . . 3\n5 . . . . . .,"{1: (3, 2), 2: (3, 1), 3: (4, 5)}","[(1, 0), (1, 1)]","[(3, 5), (3, 4)]",11
6,  0 1 2 3 4 5\n0 S . . . . .\n1 2 M M . . .\n2 . X . . . .\n3 . . . X . .\n4 . X X . . X\n5 . 3 1 . . .,"{1: (5, 2), 2: (1, 0), 3: (5, 1)}","[(3, 3), (4, 1), (4, 2), (4, 5), (2, 1)]","[(1, 2), (1, 1)]",26
7,  0 1 2 3 4 5 6\n0 S . . . M M M\n1 . X . . M X X\n2 . . . X X . X\n3 . 1 . . . . .\n4 . . X . . . .\n5 X . . X . 2 .\n6 . . . 3 . . .,"{1: (3, 1), 2: (5, 5), 3: (6, 3)}","[(4, 2), (5, 3), (1, 1), (2, 4), (2, 6), (5, 0), (2, 3), (1, 5), (1, 6)]","[(1, 4), (0, 4), (0, 5), (0, 6)]",13
7,  0 1 2 3 4 5 6\n0 S X . X . . .\n1 . . . . . . .\n2 . . . . . X .\n3 . X . 2 . . .\n4 X X 1 . . . .\n5 . X . M X . .\n6 . . 3 M . . X,"{1: (4, 2), 2: (3, 3), 3: (6, 2)}","[(4, 1), (5, 1), (5, 4), (6, 6), (2, 5), (0, 1), (4, 0), (3, 1), (0, 3)]","[(5, 3), (6, 3)]",12
7,  0 1 2 3 4 5 6\n0 S . . . . . .\n1 2 M . X X . X\n2 M M X X . . .\n3 X X . 1 . . .\n4 . . . . . . X\n5 X . . . . X .\n6 . . 3 . X X X,"{1: (3, 3), 2: (1, 0), 3: (6, 2)}","[(6, 4), (4, 6), (1, 4), (3, 0), (3, 1), (2, 3), (6, 5), (5, 0), (1, 6), (2, 2), (1, 3), (5, 5), (6, 6)]","[(1, 1), (2, 1), (2, 0)]",36
7,  0 1 2 3 4 5 6\n0 S X . 1 . . .\n1 . . X . . . X\n2 . . . X . . .\n3 . . X X X . .\n4 X . . . . . .\n5 M X X X X . X\n6 M 3 . . . 2 .,"{1: (0, 3), 2: (6, 5), 3: (6, 1)}","[(0, 1), (4, 0), (5, 1), (5, 3), (1, 2), (2, 3), (3, 2), (5, 2), (5, 6), (5, 4), (3, 4), (3, 3), (1, 6)]","[(6, 0), (5, 0)]",27
7,  0 1 2 3 4 5 6\n0 S M X X X X .\n1 . M . . X . .\n2 . . X X . . 2\n3 . . 3 . . . .\n4 . . . . X . X\n5 . X X . 1 . X\n6 . . X . . . .,"{1: (5, 4), 2: (2, 6), 3: (3, 2)}","[(0, 2), (5, 1), (5, 6), (6, 2), (0, 4), (1, 4), (4, 4), (2, 2), (0, 3), (5, 2), (4, 6), (2, 3), (0, 5)]","[(1, 1), (0, 1)]",19
7,  0 1 2 3 4 5 6\n0 S X . . . 1 X\n1 . X . . . . .\n2 . . . X . . .\n3 2 . . X . . .\n4 . . . . . . .\n5 . . 3 . X . X\n6 M M . . . . .,"{1: (0, 5), 2: (3, 0), 3: (5, 2)}","[(5, 4), (2, 3), (0, 1), (0, 6), (3, 3), (1, 1), (5, 6)]","[(6, 0), (6, 1)]",21
7,  0 1 2 3 4 5 6\n0 S . M M . . .\n1 . X . M X X .\n2 . . . . . . .\n3 . . . 3 . 1 .\n4 X . X . . 2 .\n5 . X . . X X .\n6 X . . X X . .,"{1: (3, 5), 2: (4, 5), 3: (3, 3)}","[(5, 4), (5, 5), (6, 3), (5, 1), (1, 4), (6, 4), (1, 1), (1, 5), (6, 0), (4, 2), (4, 0)]","[(0, 2), (0, 3), (1, 3)]",12
7,  0 1 2 3 4 5 6\n0 S X . 1 . . X\n1 . X . . X . 3\n2 . . . . . 2 .\n3 X . . . X . X\n4 M M . . X . .\n5 M M . . . . X\n6 . X X . . . .,"{1: (0, 3), 2: (2, 5), 3: (1, 6)}","[(6, 2), (0, 1), (6, 1), (5, 6), (3, 4), (3, 0), (3, 6), (1, 4), (1, 1), (4, 4), (0, 6)]","[(4, 1), (4, 0), (5, 0), (5, 1)]",13
7,  0 1 2 3 4 5 6\n0 S X . 3 . . .\n1 . . . . . . .\n2 . X . X . . .\n3 . . 2 X . . .\n4 . 1 . . . . .\n5 . . . . . . M\n6 . . . X . X M,"{1: (4, 1), 2: (3, 2), 3: (0, 3)}","[(6, 5), (3, 3), (0, 1), (2, 1), (6, 3), (2, 3)]","[(5, 6), (6, 6)]",11
7,  0 1 2 3 4 5 6\n0 S X X . . . .\n1 . 1 . . . X .\n2 . . X 2 X . .\n3 . X . . . X .\n4 X . . . . X .\n5 M . . . X X .\n6 M M X . 3 X .,"{1: (1, 1), 2: (2, 3), 3: (6, 4)}","[(6, 5), (3, 1), (2, 4), (1, 5), (0, 2), (5, 4), (2, 2), (3, 5), (5, 5), (4, 5), (0, 1), (4, 0), (6, 2)]","[(6, 1), (6, 0), (5, 0)]",10
8,  0 1 2 3 4 5 6 7\n0 S . . . M . . X\n1 . . . . M . X .\n2 X . . . . . . .\n3 . X . X . X . .\n4 . . . . 2 . X .\n5 X 3 X . . . X X\n6 . . 1 . . . X .\n7 X X . X . . X X,"{1: (6, 2), 2: (4, 4), 3: (5, 1)}","[(7, 6), (5, 2), (5, 7), (4, 6), (7, 1), (3, 3), (7, 3), (3, 5), (7, 0), (3, 1), (5, 6), (1, 6), (2, 0), (6, 6), (5, 0), (0, 7), (7, 7)]","[(0, 4), (1, 4)]",18
8,  0 1 2 3 4 5 6 7\n0 S . . X . X . .\n1 . . . . X X 3 X\n2 . . . . . . . .\n3 . . . . . . 2 1\n4 . . . . . . X .\n5 . . . X . . . X\n6 . M M . . X . X\n7 X M M . . . . .,"{1: (3, 7), 2: (3, 6), 3: (1, 6)}","[(7, 0), (5, 7), (1, 5), (1, 4), (1, 7), (0, 3), (0, 5), (6, 7), (4, 6), (5, 3), (6, 5)]","[(7, 2), (7, 1), (6, 1), (6, 2)]",13
8,  0 1 2 3 4 5 6 7\n0 S . . . . . . .\n1 . . . . . . . .\n2 . . X . 3 . . .\n3 . . . X . . . .\n4 . . X . X 2 . .\n5 . . . . . . 1 .\n6 . . . M M M M .\n7 . . . X X . . .,"{1: (5, 6), 2: (4, 5), 3: (2, 4)}","[(3, 3), (4, 2), (7, 3), (7, 4), (4, 4), (2, 2)]","[(6, 3), (6, 4), (6, 5), (6, 6)]",16
8,  0 1 2 3 4 5 6 7\n0 S . X . . . . .\n1 . . . . X X M M\n2 2 . 3 . . . M M\n3 . . . . . X . X\n4 . . . X X . . .\n5 . X . X X . . .\n6 . . X . . . . X\n7 . . . . . . 1 .,"{1: (7, 6), 2: (2, 0), 3: (2, 2)}","[(5, 1), (4, 4), (4, 3), (1, 5), (3, 5), (5, 3), (5, 4), (0, 2), (6, 2), (1, 4), (6, 7), (3, 7)]","[(1, 6), (2, 6), (2, 7), (1, 7)]",26
8,  0 1 2 3 4 5 6 7\n0 S . X . . . . .\n1 X . X . M 1 . X\n2 . . . . M . . .\n3 X . . . . X . .\n4 X . X X . . . X\n5 . . X . . . X .\n6 . 2 . . . . . .\n7 . . . . . . 3 .,"{1: (1, 5), 2: (6, 1), 3: (7, 6)}","[(1, 7), (0, 2), (3, 5), (5, 2), (4, 2), (4, 0), (1, 0), (3, 0), (4, 7), (4, 3), (1, 2), (5, 6)]","[(1, 4), (2, 4)]",23
8,  0 1 2 3 4 5 6 7\n0 S 2 . . . . . .\n1 . . . . . . X .\n2 1 3 . . . . . .\n3 X . X . . . . X\n4 . . . . . X . .\n5 . . X . . . . X\n6 . . . . . X . .\n7 . M M . X . . X,"{1: (2, 0), 2: (0, 1), 3: (2, 1)}","[(3, 0), (7, 4), (7, 7), (1, 6), (5, 2), (4, 5), (3, 7), (5, 7), (6, 5), (3, 2)]","[(7, 1), (7, 2)]",7
8,  0 1 2 3 4 5 6 7\n0 S . . . . . . X\n1 X . . . . . . .\n2 X . . . . . X .\n3 M M . . . 3 . .\n4 . 2 X . X . . .\n5 . . . X . X . X\n6 . . . X X . . X\n7 . . 1 . . . . .,"{1: (7, 2), 2: (4, 1), 3: (3, 5)}","[(6, 4), (5, 5), (1, 0), (6, 3), (0, 7), (4, 4), (5, 7), (6, 7), (4, 2), (5, 3), (2, 6), (2, 0)]","[(3, 0), (3, 1)]",20
8,  0 1 2 3 4 5 6 7\n0 S X . . . . X .\n1 . X . . X . . .\n2 . . . . . . . .\n3 X 3 . . 2 . M M\n4 . X . 1 . X X X\n5 X . . . . . . .\n6 . . . X . . . X\n7 . . . . X . . X,"{1: (4, 3), 2: (3, 4), 3: (3, 1)}","[(4, 7), (7, 7), (6, 3), (4, 5), (0, 6), (3, 0), (0, 1), (1, 4), (6, 7), (7, 4), (5, 0), (1, 1), (4, 1), (4, 6)]","[(3, 6), (3, 7)]",12
8,  0 1 2 3 4 5 6 7\n0 S X . . . X . .\n1 . . . X . . . .\n2 . . . X . 3 X .\n3 . . . X . . X .\n4 . X 2 X M . . .\n5 . X X . M M X .\n6 . X . 1 . . X .\n7 . . . . . . . .,"{1: (6, 3), 2: (4, 2), 3: (2, 5)}","[(3, 3), (1, 3), (5, 2), (3, 6), (6, 6), (4, 3), (2, 6), (2, 3), (6, 1), (5, 1), (0, 1), (0, 5), (4, 1), (5, 6)]","[(4, 4), (5, 4), (5, 5)]",31
8,  0 1 2 3 4 5 6 7\n0 S X . . X X . .\n1 . . . . . . . .\n2 . 2 M M 1 . X .\n3 3 . X . . . . X\n4 . . . . . . X .\n5 . . . . X X . .\n6 . . . . . X . .\n7 X . X X . . X .,"{1: (2, 4), 2: (2, 1), 3: (3, 0)}","[(3, 2), (0, 4), (5, 5), (0, 5), (2, 6), (6, 5), (7, 3), (4, 6), (0, 1), (7, 0), (7, 6), (3, 7), (7, 2), (5, 4)]","[(2, 2), (2, 3)]",11
