n,grid,goal,static,moving,future
8,  0 1 2 3 4 5 6 7\n0 S . X . X . . .\n1 . M F X . . . .\n2 . . . . F X X .\n3 . . . . . . X .\n4 . . . . X X . .\n5 . . . . X M . .\n6 X X X . . G . .\n7 . X . M . . . .,"(6, 5)","[(0, 2), (6, 2), (3, 6), (6, 0), (5, 4), (1, 3), (2, 6), (4, 4), (2, 5), (7, 1), (0, 4), (4, 5), (6, 1)]","[(7, 3), (5, 5), (1, 1)]","[(1, 2), (2, 4)]"
8,  0 1 2 3 4 5 6 7\n0 S G . . X . . .\n1 . . . . X . X .\n2 X . . . . . M .\n3 . . . . . . . .\n4 . . . . . X . .\n5 . . F . . . . .\n6 . . . . . . . .\n7 . . . . . . . .,"(0, 1)","[(4, 5), (1, 4), (1, 6), (2, 0), (0, 4)]","[(2, 6)]","[(5, 2)]"
8,  0 1 2 3 4 5 6 7\n0 S . G . . . . .\n1 X X X . . . . X\n2 . . . . X X . .\n3 X F X . M . . .\n4 . X . . . . . F\n5 . . . . . . . .\n6 . . X . . M . .\n7 . . F . . X . .,"(0, 2)","[(1, 2), (4, 1), (1, 1), (3, 2), (2, 4), (6, 2), (2, 5), (7, 5), (1, 7), (3, 0), (1, 0)]","[(6, 5), (3, 4)]","[(7, 2), (4, 7), (3, 1)]"
8,  0 1 2 3 4 5 6 7\n0 S . . X . . M .\n1 X X . . . . . .\n2 . M . X . . . .\n3 . . . G . . . X\n4 . . X . . X F .\n5 . . . . . X X F\n6 . . F . X . . .\n7 . . . . X . . .,"(3, 3)","[(5, 5), (1, 0), (2, 3), (3, 7), (6, 4), (4, 5), (5, 6), (0, 3), (4, 2), (7, 4), (1, 1)]","[(0, 6), (2, 1)]","[(5, 7), (4, 6), (6, 2)]"
8,  0 1 2 3 4 5 6 7\n0 S . . . . . X .\n1 X . . . . . . .\n2 . X . . . . . .\n3 . . . . . . . .\n4 . . . . . . . .\n5 . . . . . . . .\n6 . . . M X . . G\n7 . X . . F . . .,"(6, 7)","[(1, 0), (7, 1), (2, 1), (6, 4), (0, 6)]","[(6, 3)]","[(7, 4)]"
8,  0 1 2 3 4 5 6 7\n0 S . . . . X . .\n1 . . . X . . . X\n2 . M . . . . . .\n3 X F . M . . . G\n4 . X . F . . X .\n5 X . . . . . . .\n6 . . . X X . . .\n7 . . . . X X . F,"(3, 7)","[(0, 5), (1, 3), (3, 0), (4, 1), (6, 4), (5, 0), (7, 4), (4, 6), (7, 5), (1, 7), (6, 3)]","[(2, 1), (3, 3)]","[(3, 1), (4, 3), (7, 7)]"
9,  0 1 2 3 4 5 6 7 8\n0 S X . . . . . . X\n1 . . F M X . X F .\n2 . . . . . . M X .\n3 . . . . G . . . .\n4 . . . M . X . . .\n5 . . . . . X X X .\n6 X X . . . X X M .\n7 . X . X . X . . .\n8 . . F . X . . . X,"(3, 4)","[(7, 3), (4, 5), (8, 8), (1, 4), (7, 5), (8, 4), (0, 1), (5, 7), (2, 7), (5, 5), (7, 1), (6, 0), (1, 6), (0, 8), (6, 5), (6, 1), (5, 6), (6, 6)]","[(4, 3), (6, 7), (2, 6), (1, 3)]","[(8, 2), (1, 2), (1, 7)]"
9,  0 1 2 3 4 5 6 7 8\n0 S X . . . . . . .\n1 . . . . F . . . .\n2 . . . . G . . . .\n3 . . X X . X . . .\n4 F M . . . . . . X\n5 . X . . . . . X X\n6 . . . . . . X M .\n7 X . M . . . . . .\n8 X X . . . . . . .,"(2, 4)","[(6, 6), (7, 0), (3, 3), (4, 8), (0, 1), (8, 0), (5, 7), (3, 2), (8, 1), (5, 1), (5, 8), (3, 5)]","[(4, 1), (7, 2), (6, 7)]","[(1, 4), (4, 0)]"
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . X . . M\n1 . . . . G F . . X\n2 X . . . . . . . .\n3 . . . . . X . . X\n4 . . . . . . . F M\n5 . . . . F . . . .\n6 . . . . . . . . .\n7 . . X X . . X . X\n8 . . . X . X . . .,"(1, 4)","[(3, 8), (8, 5), (7, 2), (7, 8), (2, 0), (0, 5), (7, 6), (7, 3), (1, 8), (8, 3), (3, 5)]","[(0, 8), (4, 8)]","[(1, 5), (5, 4), (4, 7)]"
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . G . . .\n1 X . . . . . M M .\n2 . . . X . . . X F\n3 . . . . . X . . .\n4 . X . . X . . X .\n5 . . . . X F . . .\n6 . F . . M X . . .\n7 . . X . . . . . X\n8 . . X . . X . . .,"(0, 5)","[(8, 2), (6, 5), (4, 4), (5, 4), (4, 7), (2, 7), (8, 5), (7, 8), (3, 5), (1, 0), (7, 2), (2, 3), (4, 1)]","[(6, 4), (1, 6), (1, 7)]","[(6, 1), (5, 5), (2, 8)]"
9,  0 1 2 3 4 5 6 7 8\n0 S . M F . X . X .\n1 . X X . . . X . .\n2 . F X . . X . . .\n3 . . X . F . X . .\n4 G . . X . X . . X\n5 . X . . X M . X M\n6 . . . . . . F X .\n7 X X . . . M . . .\n8 . . . X . . . . .,"(4, 0)","[(4, 3), (1, 2), (5, 1), (3, 2), (4, 5), (2, 2), (6, 7), (1, 6), (7, 1), (0, 7), (3, 6), (5, 4), (1, 1), (7, 0), (0, 5), (4, 8), (8, 3), (2, 5), (5, 7)]","[(7, 5), (5, 8), (5, 5), (0, 2)]","[(0, 3), (3, 4), (6, 6), (2, 1)]"
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . M . . .\n1 . . . . . F . . X\n2 M . . . X M . X X\n3 F . . . . . . X .\n4 X F . . . X X X .\n5 . M . . G X . . .\n6 . . X X X . X . F\n7 . . . X X X . . X\n8 . . . X . . . . .,"(5, 4)","[(2, 8), (7, 4), (8, 3), (2, 7), (4, 0), (6, 6), (2, 4), (7, 8), (4, 6), (6, 3), (7, 5), (6, 2), (7, 3), (3, 7), (1, 8), (6, 4), (4, 7), (5, 5), (4, 5)]","[(5, 1), (2, 0), (0, 5), (2, 5)]","[(4, 1), (1, 5), (6, 8), (3, 0)]"
9,  0 1 2 3 4 5 6 7 8\n0 S . G . . . . . .\n1 . . X . . . X . .\n2 X X . . . . . X M\n3 F . . . . . X X .\n4 . . . . . . . . .\n5 . . X . X . . . M\n6 X . . . X . . . .\n7 . M . F . X . . .\n8 X . F X X . . . .,"(0, 2)","[(1, 2), (5, 4), (2, 0), (1, 6), (3, 7), (7, 5), (8, 3), (2, 7), (8, 0), (6, 4), (8, 4), (2, 1), (6, 0), (5, 2), (3, 6)]","[(5, 8), (7, 1), (2, 8)]","[(7, 3), (3, 0), (8, 2)]"
9,  0 1 2 3 4 5 6 7 8\n0 S X . . X . . . .\n1 . . . . . . . F X\n2 . . . . F X . . X\n3 . . M . X . X X G\n4 X . . . . . . . .\n5 . . . . X . . X .\n6 . . . . M . . . .\n7 . . M X . . . . .\n8 . X . . . . . . .,"(3, 8)","[(5, 7), (0, 4), (7, 3), (3, 7), (3, 4), (2, 8), (4, 0), (2, 5), (3, 6), (1, 8), (0, 1), (5, 4), (8, 1)]","[(6, 4), (3, 2), (7, 2)]","[(2, 4), (1, 7)]"
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . . M . M\n1 . . . . . . X X .\n2 . . . . . X X . .\n3 X . . . X . . X .\n4 X . . X X . . . .\n5 G . M . . . X . .\n6 . . X F X F M X .\n7 X . . . F X X . .\n8 . . . . . . . F X,"(5, 0)","[(6, 4), (3, 4), (6, 7), (7, 5), (3, 7), (6, 2), (1, 7), (4, 4), (8, 8), (4, 0), (7, 0), (5, 6), (7, 6), (2, 5), (4, 3), (3, 0), (1, 6), (2, 6)]","[(0, 6), (0, 8), (6, 6), (5, 2)]","[(8, 7), (6, 5), (6, 3), (7, 4)]"
9,  0 1 2 3 4 5 6 7 8\n0 S X X . . X . . .\n1 . . . . F X . . X\n2 . . . . . . . . .\n3 . . . . . . . . .\n4 X . . . . . . . .\n5 . . . . . G . . .\n6 . . . M F . . X .\n7 . M . . X . X . .\n8 . . X . . . F . .,"(5, 5)","[(8, 2), (1, 5), (7, 4), (1, 8), (7, 6), (0, 5), (0, 2), (0, 1), (6, 7), (4, 0)]","[(7, 1), (6, 3)]","[(1, 4), (8, 6), (6, 4)]"
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . X . . . . M .\n1 . . . . X . . . . .\n2 . X . . . . M . . .\n3 . X X . . . . . . .\n4 . . . X X . . F X .\n5 . . X . . . G . . X\n6 . . . M . X X . . .\n7 . . . . . . . . . F\n8 X . . . . . . . . .\n9 . . X . . . . . . F,"(5, 6)","[(5, 9), (4, 3), (2, 1), (6, 5), (6, 6), (3, 1), (3, 2), (9, 2), (4, 4), (1, 4), (8, 0), (5, 2), (0, 3), (4, 8)]","[(6, 3), (2, 6), (0, 8)]","[(4, 7), (9, 9), (7, 9)]"
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . X . . . X . X\n1 X . . X G . . . . .\n2 . . . . . M . . F .\n3 X . . . . M . . X .\n4 . . . . . X F X . .\n5 X X . . . . . . . .\n6 . . . . . . . . X .\n7 X . X . . . . . . X\n8 . . . . . X M . . .\n9 F . . . . . . F . .,"(1, 4)","[(5, 0), (7, 2), (7, 9), (5, 1), (0, 9), (4, 5), (1, 3), (0, 7), (0, 3), (8, 5), (3, 8), (7, 0), (3, 0), (1, 0), (6, 8), (4, 7)]","[(3, 5), (2, 5), (8, 6)]","[(2, 8), (9, 0), (4, 6), (9, 7)]"
10,  0 1 2 3 4 5 6 7 8 9\n0 S X . . X . . X . .\n1 . . . . . . . . X .\n2 M . . . F . . . . .\n3 M . . F . . . X . .\n4 . . . . . . . . . .\n5 . . . . . . X X . .\n6 . . . X . . X . . .\n7 . . . . . G . . . .\n8 . . . . . . . X . F\n9 . . . . . . . . . .,"(7, 5)","[(5, 6), (3, 7), (1, 8), (8, 7), (0, 1), (5, 7), (0, 7), (6, 3), (0, 4), (6, 6)]","[(3, 0), (2, 0)]","[(2, 4), (8, 9), (3, 3)]"
10,  0 1 2 3 4 5 6 7 8 9\n0 S G . . . . . X . .\n1 . . M . . . . . . .\n2 . . . . . . X . . .\n3 X . . . . . . . . .\n4 . . . . . . . F . .\n5 . X . X X X X . X .\n6 . . M . . . . X F .\n7 . . . . X . X F X .\n8 . . F . . M X . . .\n9 . . X . . . . . . .,"(0, 1)","[(7, 8), (5, 4), (5, 5), (9, 2), (7, 6), (2, 6), (5, 1), (0, 7), (6, 7), (5, 8), (8, 6), (5, 6), (7, 4), (5, 3), (3, 0)]","[(1, 2), (6, 2), (8, 5)]","[(6, 8), (4, 7), (7, 7), (8, 2)]"
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . . . . . . M .\n1 X . . . . . . . . G\n2 . . X . . . . X . .\n3 . . . . . . X . . .\n4 X X . . . . . X . .\n5 . . . . . . . . . .\n6 F . X . . . X . . .\n7 X . M . . . . . . M\n8 . . . . . . . . F .\n9 . . . . X . . . . X,"(1, 9)","[(4, 7), (1, 0), (2, 7), (9, 4), (9, 9), (3, 6), (7, 0), (2, 2), (6, 2), (6, 6), (4, 0), (4, 1)]","[(7, 9), (7, 2), (0, 8)]","[(8, 8), (6, 0)]"
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . . G . . X . X\n1 . . . . F . . . . .\n2 . . . M . F . . X .\n3 . . . X . . X . X .\n4 . . . X X . X . . .\n5 X F . . . X X X . X\n6 . . . . . . . X F .\n7 X . . . . . . . . M\n8 . . . . X M . . X .\n9 . . . X M X M . X X,"(0, 4)","[(8, 8), (5, 9), (9, 8), (6, 7), (8, 4), (2, 8), (3, 8), (5, 5), (9, 9), (0, 7), (4, 6), (3, 3), (5, 7), (3, 6), (0, 9), (5, 0), (4, 3), (4, 4), (5, 6), (9, 5), (9, 3), (7, 0)]","[(9, 6), (7, 9), (9, 4), (2, 3), (8, 5)]","[(5, 1), (2, 5), (1, 4), (6, 8)]"
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . . . . M . . .\n1 X . . . . M X . X .\n2 . . . . . . X . . F\n3 . . . . F . . X X X\n4 . X . . M X . . . X\n5 . M . . X X . X . F\n6 . . . . X . . . X X\n7 . X . X X X G . . .\n8 . . . . X . . X . .\n9 . . . F M . F . . .,"(7, 6)","[(1, 8), (5, 7), (7, 3), (6, 8), (8, 7), (3, 7), (5, 4), (7, 4), (4, 9), (5, 5), (6, 4), (4, 5), (7, 5), (3, 9), (2, 6), (1, 0), (8, 4), (3, 8), (6, 9), (4, 1), (7, 1), (1, 6)]","[(0, 6), (9, 4), (1, 5), (5, 1), (4, 4)]","[(9, 3), (5, 9), (2, 9), (3, 4), (9, 6)]"
10,  0 1 2 3 4 5 6 7 8 9\n0 S G . M . . . . X X\n1 . . . . F . . . . .\n2 X . . X . . . . . .\n3 . . . . . . . M . .\n4 . . . . . . X . M .\n5 . . . . . . F X X .\n6 . X . X X . . . . M\n7 X . . . X . . . X .\n8 X . . . . . . . F .\n9 . . . X X . X . . X,"(0, 1)","[(0, 9), (8, 0), (7, 0), (7, 8), (4, 6), (0, 8), (5, 8), (2, 3), (7, 4), (6, 3), (6, 1), (9, 6), (9, 3), (2, 0), (9, 4), (9, 9), (5, 7), (6, 4)]","[(0, 3), (4, 8), (3, 7), (6, 9)]","[(5, 6), (8, 8), (1, 4)]"
10,  0 1 2 3 4 5 6 7 8 9\n0 S . X M X X . X X .\n1 . X . . X X . . . .\n2 . . . X . . X X . .\n3 . X . . . . X . . .\n4 M . . . . . . . X .\n5 . . . . . . X G . .\n6 X . . . . . . X . X\n7 . F M . X M M . . .\n8 . . . . X . . . . X\n9 . F . . F X F . . .,"(5, 7)","[(5, 6), (0, 2), (3, 6), (2, 7), (3, 1), (8, 9), (6, 7), (1, 1), (2, 3), (9, 5), (6, 9), (0, 7), (8, 4), (1, 4), (6, 0), (4, 8), (2, 6), (0, 8), (0, 4), (7, 4), (0, 5), (1, 5)]","[(4, 0), (7, 2), (7, 5), (0, 3), (7, 6)]","[(9, 1), (7, 1), (9, 6), (9, 4)]"
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . X . . . . . .\n1 X . . . . . . . . X\n2 . . . . F . G . X .\n3 . . . . M . . . . F\n4 X . X . . . . . . .\n5 . . . . . . . . . .\n6 X X . . . X . . . M\n7 . X . . . . F . . .\n8 . X . . . . M X . .\n9 . . . . X . . X . X,"(2, 6)","[(1, 9), (9, 7), (8, 7), (8, 1), (7, 1), (1, 0), (9, 4), (9, 9), (6, 1), (2, 8), (4, 0), (0, 3), (6, 0), (6, 5), (4, 2)]","[(8, 6), (3, 4), (6, 9)]","[(3, 9), (7, 6), (2, 4)]"
