n,grid,goals,static,visit_order,BFS_steps
5,  0 1 2 3 4\n0 S . . . .\n1 3 . . . .\n2 . . . 2 .\n3 1 . . X .\n4 . . . . .,"{1: (3, 0), 2: (2, 3), 3: (1, 0)}","[(3, 3)]","[(0, 0), (0, 1), (1, 1), (2, 1), (3, 1), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (1, 3), (1, 2), (1, 1), (1, 0)]",13
5,  0 1 2 3 4\n0 S . . . .\n1 . . . . .\n2 2 3 . X .\n3 . X 1 X .\n4 X . . . .,"{1: (3, 2), 2: (2, 0), 3: (2, 1)}","[(2, 3), (3, 1), (4, 0), (3, 3)]","[(0, 0), (1, 0), (1, 1), (1, 2), (2, 2), (3, 2), (2, 2), (1, 2), (1, 1), (1, 0), (2, 0), (2, 1)]",11
5,  0 1 2 3 4\n0 S 1 . . .\n1 X . 3 . .\n2 . . . . .\n3 2 . . . .\n4 . . . X .,"{1: (0, 1), 2: (3, 0), 3: (1, 2)}","[(4, 3), (1, 0)]","[(0, 0), (0, 1), (1, 1), (2, 1), (3, 1), (3, 0), (2, 0), (2, 1), (1, 1), (1, 2)]",9
6,  0 1 2 3 4 5\n0 S 1 . . . .\n1 . . . . . .\n2 . . X . . .\n3 X 3 . . . X\n4 . . . . . .\n5 . 2 . X . X,"{1: (0, 1), 2: (5, 1), 3: (3, 1)}","[(2, 2), (3, 5), (3, 0), (5, 3), (5, 5)]","[(0, 0), (0, 1), (1, 1), (1, 2), (1, 3), (2, 3), (3, 3), (4, 3), (4, 2), (5, 2), (5, 1), (4, 1), (3, 1)]",12
6,  0 1 2 3 4 5\n0 S . . . . .\n1 . X . . . .\n2 2 . . . . .\n3 . . . 3 . X\n4 . . . . . .\n5 . X 1 X . .,"{1: (5, 2), 2: (2, 0), 3: (3, 3)}","[(5, 1), (1, 1), (5, 3), (3, 5)]","[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (4, 2), (3, 2), (2, 2), (2, 1), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3)]",16
6,  0 1 2 3 4 5\n0 S . . . . .\n1 1 . . . . .\n2 . . . . X .\n3 . X . . X .\n4 . . . . X 2\n5 . . X X . 3,"{1: (1, 0), 2: (4, 5), 3: (5, 5)}","[(4, 4), (3, 1), (5, 3), (5, 2), (2, 4), (3, 4)]","[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5)]",10
6,  0 1 2 3 4 5\n0 S . X . . X\n1 . . . . . .\n2 . 3 . X . 2\n3 . . . . . .\n4 . . . X . X\n5 . . 1 . . .,"{1: (5, 2), 2: (2, 5), 3: (2, 1)}","[(0, 2), (2, 3), (0, 5), (4, 5), (4, 3)]","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (4, 2), (3, 2), (3, 3), (3, 4), (2, 4), (2, 5), (1, 5), (1, 4), (1, 3), (1, 2), (2, 2), (2, 1)]",19
6,  0 1 2 3 4 5\n0 S . . . . .\n1 . . . . . .\n2 . . . 2 . .\n3 . . 3 . . .\n4 . X . X . .\n5 1 . . X X .,"{1: (5, 0), 2: (2, 3), 3: (3, 2)}","[(4, 1), (4, 3), (5, 3), (5, 4)]","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (3, 3), (3, 2)]",13
6,  0 1 2 3 4 5\n0 S . . X . .\n1 . . . . . 3\n2 X . . . . .\n3 2 X 1 . . .\n4 . . . . . .\n5 . . X . . .,"{1: (3, 2), 2: (3, 0), 3: (1, 5)}","[(3, 1), (5, 2), (0, 3), (2, 0)]","[(0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (3, 2), (4, 2), (4, 1), (4, 0), (3, 0), (4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (1, 2), (1, 3), (1, 4), (1, 5)]",18
6,  0 1 2 3 4 5\n0 S . . . . .\n1 . . 1 . . .\n2 . . . . . .\n3 2 X . . . .\n4 . X X . . .\n5 . . . 3 X X,"{1: (1, 2), 2: (3, 0), 3: (5, 3)}","[(4, 1), (5, 4), (4, 2), (3, 1), (5, 5)]","[(0, 0), (1, 0), (1, 1), (1, 2), (2, 2), (2, 1), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (5, 3)]",12
6,  0 1 2 3 4 5\n0 S 1 . . . .\n1 . . . X X .\n2 . . . . . .\n3 X X . . . .\n4 3 . . . . 2\n5 . . X . . .,"{1: (0, 1), 2: (4, 5), 3: (4, 0)}","[(3, 0), (3, 1), (1, 3), (1, 4), (5, 2)]","[(0, 0), (0, 1), (1, 1), (2, 1), (2, 2), (3, 2), (4, 2), (4, 3), (4, 4), (4, 5), (4, 4), (4, 3), (4, 2), (4, 1), (4, 0)]",14
6,  0 1 2 3 4 5\n0 S . . . . .\n1 . . 3 1 X .\n2 . . . . 2 .\n3 . . . . . X\n4 . . . . . .\n5 . . . . . .,"{1: (1, 3), 2: (2, 4), 3: (1, 2)}","[(1, 4), (3, 5)]","[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3), (2, 4), (2, 3), (1, 3), (1, 2)]",9
6,  0 1 2 3 4 5\n0 S . . . . .\n1 . . . . . .\n2 . . . . . .\n3 . . . 1 . .\n4 . . 3 X . .\n5 . X . . . 2,"{1: (3, 3), 2: (5, 5), 3: (4, 2)}","[(5, 1), (4, 3)]","[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (4, 4), (5, 4), (5, 5), (5, 4), (5, 3), (5, 2), (4, 2)]",14
6,  0 1 2 3 4 5\n0 S . . . . .\n1 X . . . . .\n2 . . X . 2 .\n3 3 . X . . .\n4 . . . . . .\n5 1 . . X . .,"{1: (5, 0), 2: (2, 4), 3: (3, 0)}","[(1, 0), (3, 2), (2, 2), (5, 3)]","[(0, 0), (0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (5, 0), (4, 0), (4, 1), (4, 2), (4, 3), (3, 3), (2, 3), (2, 4), (1, 4), (1, 3), (1, 2), (1, 1), (2, 1), (3, 1), (3, 0)]",21
6,  0 1 2 3 4 5\n0 S . . . 2 .\n1 1 . . . . .\n2 . X X . . .\n3 . . . 3 . .\n4 . . . . . .\n5 . . . . . .,"{1: (1, 0), 2: (0, 4), 3: (3, 3)}","[(2, 2), (2, 1)]","[(0, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (1, 4), (2, 4), (3, 4), (3, 3)]",10
6,  0 1 2 3 4 5\n0 S . . . . .\n1 . . . . . .\n2 . . . X X .\n3 . . . . . .\n4 3 . . . . .\n5 . X 2 . X 1,"{1: (5, 5), 2: (5, 2), 3: (4, 0)}","[(2, 4), (2, 3), (5, 1), (5, 4)]","[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (5, 5), (4, 5), (4, 4), (4, 3), (5, 3), (5, 2), (4, 2), (4, 1), (4, 0)]",18
7,  0 1 2 3 4 5 6\n0 S . . . . . 2\n1 3 . . X . . .\n2 . . . . . . .\n3 . 1 X . . X .\n4 . . X . . . .\n5 . . . . . . .\n6 . . . X . X .,"{1: (3, 1), 2: (0, 6), 3: (1, 0)}","[(3, 5), (3, 2), (4, 2), (6, 3), (6, 5), (1, 3)]","[(0, 0), (0, 1), (1, 1), (2, 1), (3, 1), (2, 1), (1, 1), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (1, 2), (1, 1), (1, 0)]",19
7,  0 1 2 3 4 5 6\n0 S . X . . . X\n1 . X . . . . .\n2 . . . . . X .\n3 X . . . . . .\n4 3 . . . X 2 .\n5 . . . . . X .\n6 . . . . . 1 .,"{1: (6, 5), 2: (4, 5), 3: (4, 0)}","[(0, 2), (4, 4), (3, 0), (0, 6), (1, 1), (2, 5), (5, 5)]","[(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (6, 6), (5, 6), (4, 6), (4, 5), (3, 5), (3, 4), (3, 3), (4, 3), (4, 2), (4, 1), (4, 0)]",22
7,  0 1 2 3 4 5 6\n0 S . X . X . .\n1 X . . . X . X\n2 . 1 . 2 . . .\n3 X . . X . . .\n4 . . . . X . .\n5 . . . X . . X\n6 . 3 X . . . .,"{1: (2, 1), 2: (2, 3), 3: (6, 1)}","[(1, 4), (3, 3), (0, 4), (1, 0), (1, 6), (6, 2), (0, 2), (4, 4), (5, 3), (3, 0), (5, 6)]","[(0, 0), (0, 1), (1, 1), (2, 1), (2, 2), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (5, 1), (6, 1)]",11
7,  0 1 2 3 4 5 6\n0 S X 3 . . . .\n1 . X . . . . X\n2 . . . . . X .\n3 2 . . . . . .\n4 X . . . . . .\n5 X . . X . . X\n6 . X X . 1 . .,"{1: (6, 4), 2: (3, 0), 3: (0, 2)}","[(5, 0), (2, 5), (4, 0), (6, 2), (5, 3), (0, 1), (5, 6), (1, 1), (1, 6), (6, 1)]","[(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1), (4, 2), (4, 3), (4, 4), (5, 4), (6, 4), (5, 4), (4, 4), (3, 4), (3, 3), (3, 2), (3, 1), (3, 0), (2, 0), (2, 1), (2, 2), (1, 2), (0, 2)]",22
7,  0 1 2 3 4 5 6\n0 S 3 . X . X .\n1 . . X . . . .\n2 X . . . . . .\n3 . . . . . . .\n4 2 . X X . . X\n5 . . . X . . X\n6 . . . . . 1 .,"{1: (6, 5), 2: (4, 0), 3: (0, 1)}","[(0, 3), (4, 2), (5, 3), (4, 3), (1, 2), (5, 6), (4, 6), (2, 0), (0, 5)]","[(0, 0), (1, 0), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (6, 4), (6, 3), (6, 2), (5, 2), (5, 1), (4, 1), (4, 0), (3, 0), (3, 1), (2, 1), (1, 1), (0, 1)]",23
7,  0 1 2 3 4 5 6\n0 S . . X . . .\n1 . . . X . 3 .\n2 X . X . . . X\n3 . . . . . . X\n4 X X 1 . . . .\n5 X X X X . X .\n6 . 2 . . . . .,"{1: (4, 2), 2: (6, 1), 3: (1, 5)}","[(5, 5), (4, 0), (5, 3), (5, 1), (0, 3), (2, 0), (2, 6), (3, 6), (2, 2), (1, 3), (5, 0), (5, 2), (4, 1)]","[(0, 0), (1, 0), (1, 1), (2, 1), (3, 1), (3, 2), (4, 2), (4, 3), (4, 4), (5, 4), (6, 4), (6, 3), (6, 2), (6, 1), (6, 2), (6, 3), (6, 4), (5, 4), (4, 4), (3, 4), (2, 4), (1, 4), (1, 5)]",22
7,  0 1 2 3 4 5 6\n0 S . . X X X .\n1 . X . . X . X\n2 . 1 . 2 . X .\n3 . . X . . . .\n4 X . . X . . .\n5 . . . X X 3 .\n6 . . X . . . .,"{1: (2, 1), 2: (2, 3), 3: (5, 5)}","[(5, 3), (3, 2), (4, 3), (6, 2), (1, 1), (4, 0), (1, 4), (5, 4), (0, 3), (1, 6), (0, 5), (2, 5), (0, 4)]","[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (3, 3), (3, 4), (4, 4), (4, 5), (5, 5)]",10
7,  0 1 2 3 4 5 6\n0 S . . X . . 3\n1 . . X . . X X\n2 . . X X . . X\n3 . . . X X . .\n4 X . 1 X . . .\n5 . . . . X . .\n6 . . 2 . . . .,"{1: (4, 2), 2: (6, 2), 3: (0, 6)}","[(2, 3), (1, 5), (3, 4), (2, 2), (4, 0), (5, 4), (2, 6), (0, 3), (3, 3), (1, 2), (4, 3), (1, 6)]","[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (4, 1), (4, 2), (5, 2), (6, 2), (6, 3), (6, 4), (6, 5), (5, 5), (4, 5), (3, 5), (2, 5), (2, 4), (1, 4), (0, 4), (0, 5), (0, 6)]",20
7,  0 1 2 3 4 5 6\n0 S . X X . X .\n1 . . . . . X .\n2 X . . . . 2 .\n3 . . X . 1 . 3\n4 X X . X . . X\n5 . . . . X . .\n6 . . . . . . X,"{1: (3, 4), 2: (2, 5), 3: (3, 6)}","[(4, 6), (4, 1), (1, 5), (2, 0), (6, 6), (4, 0), (0, 3), (4, 3), (3, 2), (0, 2), (0, 5), (5, 4)]","[(0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (2, 3), (3, 3), (3, 4), (2, 4), (2, 5), (3, 5), (3, 6)]",11
7,  0 1 2 3 4 5 6\n0 S . . . X X .\n1 . . . . 1 . .\n2 . . . X . X .\n3 . . X X . . .\n4 . . 3 . . . .\n5 . 2 X X . . .\n6 . . . . . . .,"{1: (1, 4), 2: (5, 1), 3: (4, 2)}","[(5, 3), (2, 3), (3, 2), (2, 5), (3, 3), (5, 2), (0, 5), (0, 4)]","[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 3), (1, 2), (2, 2), (2, 1), (3, 1), (4, 1), (5, 1), (4, 1), (4, 2)]",14
7,  0 1 2 3 4 5 6\n0 S . . . . . .\n1 . . . . . . .\n2 . X . . X . .\n3 . . X . . . .\n4 . 2 . . 3 . .\n5 . . . . . . .\n6 . X 1 X . . .,"{1: (6, 2), 2: (4, 1), 3: (4, 4)}","[(2, 4), (6, 1), (6, 3), (2, 1), (3, 2)]","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (6, 2), (5, 2), (4, 2), (4, 1), (4, 2), (4, 3), (4, 4)]",14
7,  0 1 2 3 4 5 6\n0 S 1 X X . . .\n1 . . . . . . X\n2 . . . . . X .\n3 3 . . . . . X\n4 . . X . . . .\n5 . . X X X . .\n6 2 . . . X . .,"{1: (0, 1), 2: (6, 0), 3: (3, 0)}","[(6, 4), (1, 6), (4, 2), (5, 2), (3, 6), (0, 2), (0, 3), (2, 5), (5, 4), (5, 3)]","[(0, 0), (0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (6, 0), (5, 0), (4, 0), (3, 0)]",11
8,  0 1 2 3 4 5 6 7\n0 S . X . . . . X\n1 . . X . . . . .\n2 . . . X . . 1 .\n3 . . . . X . X .\n4 . . . 2 . X . .\n5 . . . X . . . X\n6 . . . . . X X .\n7 . X 3 . X X . X,"{1: (2, 6), 2: (4, 3), 3: (7, 2)}","[(5, 7), (7, 7), (4, 5), (3, 4), (6, 5), (0, 7), (1, 2), (7, 1), (7, 5), (7, 4), (5, 3), (3, 6), (0, 2), (2, 3), (6, 6)]","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (5, 4), (5, 5), (5, 6), (4, 6), (4, 7), (3, 7), (2, 7), (2, 6), (2, 7), (3, 7), (4, 7), (4, 6), (5, 6), (5, 5), (5, 4), (4, 4), (4, 3), (4, 2), (5, 2), (6, 2), (7, 2)]",31
8,  0 1 2 3 4 5 6 7\n0 S . . . X . . .\n1 X . . . . . . .\n2 . X . X . . . X\n3 X . . . . . X 3\n4 . . . . . . . .\n5 . 1 X . . . . .\n6 . . . . . . . .\n7 2 . . . . . . .,"{1: (5, 1), 2: (7, 0), 3: (3, 7)}","[(5, 2), (2, 7), (1, 0), (2, 1), (2, 3), (0, 4), (3, 0), (3, 6)]","[(0, 0), (0, 1), (1, 1), (1, 2), (2, 2), (3, 2), (4, 2), (4, 1), (5, 1), (6, 1), (7, 1), (7, 0), (6, 0), (5, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (3, 7)]",22
8,  0 1 2 3 4 5 6 7\n0 S . X . . . . 1\n1 . . . . . . . .\n2 . . X . . . . .\n3 . X . X . . . X\n4 . 3 . . . . . .\n5 . . . . . . X .\n6 . . . . . . . .\n7 . . . . X . 2 .,"{1: (0, 7), 2: (7, 6), 3: (4, 1)}","[(7, 4), (3, 3), (5, 6), (3, 1), (0, 2), (3, 7), (2, 2)]","[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (2, 6), (3, 6), (4, 6), (4, 5), (5, 5), (6, 5), (7, 5), (7, 6), (6, 6), (6, 5), (5, 5), (4, 5), (4, 4), (4, 3), (4, 2), (4, 1)]",27
