n,grid,goals,static,moving,BFS_steps
5,  0 1 2 3 4\n0 S . . X .\n1 2 . 3 . .\n2 . . . . .\n3 . . . 1 X\n4 . . M M X,"{1: (3, 3), 2: (1, 0), 3: (1, 2)}","[(4, 4), (3, 4), (0, 3)]","[(4, 2), (4, 3)]",13
5,  0 1 2 3 4\n0 S . . 2 X\n1 . . X 3 .\n2 . 1 . . M\n3 . . . . M\n4 X . . . .,"{1: (2, 1), 2: (0, 3), 3: (1, 3)}","[(1, 2), (4, 0), (0, 4)]","[(3, 4), (2, 4)]",8
5,  0 1 2 3 4\n0 S X . . .\n1 . . . M .\n2 . . . M .\n3 3 . 2 M M\n4 . . . 1 X,"{1: (4, 3), 2: (3, 2), 3: (3, 0)}","[(0, 1), (4, 4)]","[(3, 4), (3, 3), (2, 3), (1, 3)]",11
6,  0 1 2 3 4 5\n0 S X . . . .\n1 . . M M . .\n2 . . M M . X\n3 1 . . . X .\n4 . . . . X X\n5 . . 3 . 2 X,"{1: (3, 0), 2: (5, 4), 3: (5, 2)}","[(3, 4), (4, 4), (5, 5), (4, 5), (2, 5), (0, 1)]","[(2, 2), (2, 3), (1, 3), (1, 2)]",11
6,  0 1 2 3 4 5\n0 S . . M M .\n1 . . . M . .\n2 . . . . . .\n3 X . X . . .\n4 . 1 . 2 . .\n5 X . . . . 3,"{1: (4, 1), 2: (4, 3), 3: (5, 5)}","[(3, 0), (3, 2), (5, 0)]","[(1, 3), (0, 3), (0, 4)]",10
6,  0 1 2 3 4 5\n0 S . . . 2 .\n1 . . . . . .\n2 . . . X . .\n3 . . . . . 3\n4 . M M . . .\n5 . M M . X 1,"{1: (5, 5), 2: (0, 4), 3: (3, 5)}","[(5, 4), (2, 3)]","[(4, 1), (4, 2), (5, 2), (5, 1)]",20
6,  0 1 2 3 4 5\n0 S . . . . .\n1 . 2 . . X .\n2 . . . . 1 .\n3 . . 3 . . .\n4 . M . . . .\n5 . M . X . .,"{1: (2, 4), 2: (1, 1), 3: (3, 2)}","[(5, 3), (1, 4)]","[(5, 1), (4, 1)]",13
6,  0 1 2 3 4 5\n0 S . . X . .\n1 . . . . . .\n2 . . . X 2 .\n3 X . . . . .\n4 . . . M . 1\n5 3 . . M M .,"{1: (4, 5), 2: (2, 4), 3: (5, 0)}","[(2, 3), (0, 3), (3, 0)]","[(4, 3), (5, 3), (5, 4)]",19
6,  0 1 2 3 4 5\n0 S . . X . .\n1 . . . . . .\n2 . X . . X .\n3 . X . M M .\n4 1 . . . . .\n5 . 2 . X 3 .,"{1: (4, 0), 2: (5, 1), 3: (5, 4)}","[(2, 1), (3, 1), (5, 3), (2, 4), (0, 3)]","[(3, 4), (3, 3)]",11
6,  0 1 2 3 4 5\n0 S . . . . .\n1 . 3 X 1 X .\n2 . . M M X .\n3 . . . M . .\n4 . . . X . .\n5 . . 2 . . X,"{1: (1, 3), 2: (5, 2), 3: (1, 1)}","[(5, 5), (4, 3), (2, 4), (1, 4), (1, 2)]","[(2, 2), (2, 3), (3, 3)]",14
6,  0 1 2 3 4 5\n0 S . . . 1 .\n1 M 2 . . . .\n2 M . 3 . . .\n3 M . . . . .\n4 M . . X . .\n5 . . . X X .,"{1: (0, 4), 2: (1, 1), 3: (2, 2)}","[(4, 3), (5, 3), (5, 4)]","[(1, 0), (2, 0), (3, 0), (4, 0)]",10
6,  0 1 2 3 4 5\n0 S . . . . .\n1 X X . . . .\n2 . . . . . .\n3 . 2 1 . M M\n4 . . . . . 3\n5 . . . . . .,"{1: (3, 2), 2: (3, 1), 3: (4, 5)}","[(1, 0), (1, 1)]","[(3, 5), (3, 4)]",11
6,  0 1 2 3 4 5\n0 S . . . . .\n1 2 M M . . .\n2 . X . . . .\n3 . . . X . .\n4 . X X . . X\n5 . 3 1 . . .,"{1: (5, 2), 2: (1, 0), 3: (5, 1)}","[(3, 3), (4, 1), (4, 2), (4, 5), (2, 1)]","[(1, 2), (1, 1)]",26
7,  0 1 2 3 4 5 6\n0 S . . . M M M\n1 . X . . M X X\n2 . . . X X . X\n3 . 1 . . . . .\n4 . . X . . . .\n5 X . . X . 2 .\n6 . . . 3 . . .,"{1: (3, 1), 2: (5, 5), 3: (6, 3)}","[(4, 2), (5, 3), (1, 1), (2, 4), (2, 6), (5, 0), (2, 3), (1, 5), (1, 6)]","[(1, 4), (0, 4), (0, 5), (0, 6)]",13
7,  0 1 2 3 4 5 6\n0 S X . X . . .\n1 . . . . . . .\n2 . . . . . X .\n3 . X . 2 . . .\n4 X X 1 . . . .\n5 . X . M X . .\n6 . . 3 M . . X,"{1: (4, 2), 2: (3, 3), 3: (6, 2)}","[(4, 1), (5, 1), (5, 4), (6, 6), (2, 5), (0, 1), (4, 0), (3, 1), (0, 3)]","[(5, 3), (6, 3)]",12
7,  0 1 2 3 4 5 6\n0 S . . . . . .\n1 2 M . X X . X\n2 M M X X . . .\n3 X X . 1 . . .\n4 . . . . . . X\n5 X . . . . X .\n6 . . 3 . X X X,"{1: (3, 3), 2: (1, 0), 3: (6, 2)}","[(6, 4), (4, 6), (1, 4), (3, 0), (3, 1), (2, 3), (6, 5), (5, 0), (1, 6), (2, 2), (1, 3), (5, 5), (6, 6)]","[(1, 1), (2, 1), (2, 0)]",36
7,  0 1 2 3 4 5 6\n0 S X . 1 . . .\n1 . . X . . . X\n2 . . . X . . .\n3 . . X X X . .\n4 X . . . . . .\n5 M X X X X . X\n6 M 3 . . . 2 .,"{1: (0, 3), 2: (6, 5), 3: (6, 1)}","[(0, 1), (4, 0), (5, 1), (5, 3), (1, 2), (2, 3), (3, 2), (5, 2), (5, 6), (5, 4), (3, 4), (3, 3), (1, 6)]","[(6, 0), (5, 0)]",27
7,  0 1 2 3 4 5 6\n0 S M X X X X .\n1 . M . . X . .\n2 . . X X . . 2\n3 . . 3 . . . .\n4 . . . . X . X\n5 . X X . 1 . X\n6 . . X . . . .,"{1: (5, 4), 2: (2, 6), 3: (3, 2)}","[(0, 2), (5, 1), (5, 6), (6, 2), (0, 4), (1, 4), (4, 4), (2, 2), (0, 3), (5, 2), (4, 6), (2, 3), (0, 5)]","[(1, 1), (0, 1)]",19
7,  0 1 2 3 4 5 6\n0 S X . . . 1 X\n1 . X . . . . .\n2 . . . X . . .\n3 2 . . X . . .\n4 . . . . . . .\n5 . . 3 . X . X\n6 M M . . . . .,"{1: (0, 5), 2: (3, 0), 3: (5, 2)}","[(5, 4), (2, 3), (0, 1), (0, 6), (3, 3), (1, 1), (5, 6)]","[(6, 0), (6, 1)]",21
7,  0 1 2 3 4 5 6\n0 S . M M . . .\n1 . X . M X X .\n2 . . . . . . .\n3 . . . 3 . 1 .\n4 X . X . . 2 .\n5 . X . . X X .\n6 X . . X X . .,"{1: (3, 5), 2: (4, 5), 3: (3, 3)}","[(5, 4), (5, 5), (6, 3), (5, 1), (1, 4), (6, 4), (1, 1), (1, 5), (6, 0), (4, 2), (4, 0)]","[(0, 2), (0, 3), (1, 3)]",12
7,  0 1 2 3 4 5 6\n0 S X . 1 . . X\n1 . X . . X . 3\n2 . . . . . 2 .\n3 X . . . X . X\n4 M M . . X . .\n5 M M . . . . X\n6 . X X . . . .,"{1: (0, 3), 2: (2, 5), 3: (1, 6)}","[(6, 2), (0, 1), (6, 1), (5, 6), (3, 4), (3, 0), (3, 6), (1, 4), (1, 1), (4, 4), (0, 6)]","[(4, 1), (4, 0), (5, 0), (5, 1)]",13
7,  0 1 2 3 4 5 6\n0 S X . 3 . . .\n1 . . . . . . .\n2 . X . X . . .\n3 . . 2 X . . .\n4 . 1 . . . . .\n5 . . . . . . M\n6 . . . X . X M,"{1: (4, 1), 2: (3, 2), 3: (0, 3)}","[(6, 5), (3, 3), (0, 1), (2, 1), (6, 3), (2, 3)]","[(5, 6), (6, 6)]",11
7,  0 1 2 3 4 5 6\n0 S X X . . . .\n1 . 1 . . . X .\n2 . . X 2 X . .\n3 . X . . . X .\n4 X . . . . X .\n5 M . . . X X .\n6 M M X . 3 X .,"{1: (1, 1), 2: (2, 3), 3: (6, 4)}","[(6, 5), (3, 1), (2, 4), (1, 5), (0, 2), (5, 4), (2, 2), (3, 5), (5, 5), (4, 5), (0, 1), (4, 0), (6, 2)]","[(6, 1), (6, 0), (5, 0)]",10
8,  0 1 2 3 4 5 6 7\n0 S . . . M . . X\n1 . . . . M . X .\n2 X . . . . . . .\n3 . X . X . X . .\n4 . . . . 2 . X .\n5 X 3 X . . . X X\n6 . . 1 . . . X .\n7 X X . X . . X X,"{1: (6, 2), 2: (4, 4), 3: (5, 1)}","[(7, 6), (5, 2), (5, 7), (4, 6), (7, 1), (3, 3), (7, 3), (3, 5), (7, 0), (3, 1), (5, 6), (1, 6), (2, 0), (6, 6), (5, 0), (0, 7), (7, 7)]","[(0, 4), (1, 4)]",18
8,  0 1 2 3 4 5 6 7\n0 S . . X . X . .\n1 . . . . X X 3 X\n2 . . . . . . . .\n3 . . . . . . 2 1\n4 . . . . . . X .\n5 . . . X . . . X\n6 . M M . . X . X\n7 X M M . . . . .,"{1: (3, 7), 2: (3, 6), 3: (1, 6)}","[(7, 0), (5, 7), (1, 5), (1, 4), (1, 7), (0, 3), (0, 5), (6, 7), (4, 6), (5, 3), (6, 5)]","[(7, 2), (7, 1), (6, 1), (6, 2)]",13
8,  0 1 2 3 4 5 6 7\n0 S . . . . . . .\n1 . . . . . . . .\n2 . . X . 3 . . .\n3 . . . X . . . .\n4 . . X . X 2 . .\n5 . . . . . . 1 .\n6 . . . M M M M .\n7 . . . X X . . .,"{1: (5, 6), 2: (4, 5), 3: (2, 4)}","[(3, 3), (4, 2), (7, 3), (7, 4), (4, 4), (2, 2)]","[(6, 3), (6, 4), (6, 5), (6, 6)]",16
8,  0 1 2 3 4 5 6 7\n0 S . X . . . . .\n1 . . . . X X M M\n2 2 . 3 . . . M M\n3 . . . . . X . X\n4 . . . X X . . .\n5 . X . X X . . .\n6 . . X . . . . X\n7 . . . . . . 1 .,"{1: (7, 6), 2: (2, 0), 3: (2, 2)}","[(5, 1), (4, 4), (4, 3), (1, 5), (3, 5), (5, 3), (5, 4), (0, 2), (6, 2), (1, 4), (6, 7), (3, 7)]","[(1, 6), (2, 6), (2, 7), (1, 7)]",26
8,  0 1 2 3 4 5 6 7\n0 S . X . . . . .\n1 X . X . M 1 . X\n2 . . . . M . . .\n3 X . . . . X . .\n4 X . X X . . . X\n5 . . X . . . X .\n6 . 2 . . . . . .\n7 . . . . . . 3 .,"{1: (1, 5), 2: (6, 1), 3: (7, 6)}","[(1, 7), (0, 2), (3, 5), (5, 2), (4, 2), (4, 0), (1, 0), (3, 0), (4, 7), (4, 3), (1, 2), (5, 6)]","[(1, 4), (2, 4)]",23
8,  0 1 2 3 4 5 6 7\n0 S 2 . . . . . .\n1 . . . . . . X .\n2 1 3 . . . . . .\n3 X . X . . . . X\n4 . . . . . X . .\n5 . . X . . . . X\n6 . . . . . X . .\n7 . M M . X . . X,"{1: (2, 0), 2: (0, 1), 3: (2, 1)}","[(3, 0), (7, 4), (7, 7), (1, 6), (5, 2), (4, 5), (3, 7), (5, 7), (6, 5), (3, 2)]","[(7, 1), (7, 2)]",7
8,  0 1 2 3 4 5 6 7\n0 S . . . . . . X\n1 X . . . . . . .\n2 X . . . . . X .\n3 M M . . . 3 . .\n4 . 2 X . X . . .\n5 . . . X . X . X\n6 . . . X X . . X\n7 . . 1 . . . . .,"{1: (7, 2), 2: (4, 1), 3: (3, 5)}","[(6, 4), (5, 5), (1, 0), (6, 3), (0, 7), (4, 4), (5, 7), (6, 7), (4, 2), (5, 3), (2, 6), (2, 0)]","[(3, 0), (3, 1)]",20
8,  0 1 2 3 4 5 6 7\n0 S X . . . . X .\n1 . X . . X . . .\n2 . . . . . . . .\n3 X 3 . . 2 . M M\n4 . X . 1 . X X X\n5 X . . . . . . .\n6 . . . X . . . X\n7 . . . . X . . X,"{1: (4, 3), 2: (3, 4), 3: (3, 1)}","[(4, 7), (7, 7), (6, 3), (4, 5), (0, 6), (3, 0), (0, 1), (1, 4), (6, 7), (7, 4), (5, 0), (1, 1), (4, 1), (4, 6)]","[(3, 6), (3, 7)]",12
8,  0 1 2 3 4 5 6 7\n0 S X . . . X . .\n1 . . . X . . . .\n2 . . . X . 3 X .\n3 . . . X . . X .\n4 . X 2 X M . . .\n5 . X X . M M X .\n6 . X . 1 . . X .\n7 . . . . . . . .,"{1: (6, 3), 2: (4, 2), 3: (2, 5)}","[(3, 3), (1, 3), (5, 2), (3, 6), (6, 6), (4, 3), (2, 6), (2, 3), (6, 1), (5, 1), (0, 1), (0, 5), (4, 1), (5, 6)]","[(4, 4), (5, 4), (5, 5)]",31
8,  0 1 2 3 4 5 6 7\n0 S X . . X X . .\n1 . . . . . . . .\n2 . 2 M M 1 . X .\n3 3 . X . . . . X\n4 . . . . . . X .\n5 . . . . X X . .\n6 . . . . . X . .\n7 X . X X . . X .,"{1: (2, 4), 2: (2, 1), 3: (3, 0)}","[(3, 2), (0, 4), (5, 5), (0, 5), (2, 6), (6, 5), (7, 3), (4, 6), (0, 1), (7, 0), (7, 6), (3, 7), (7, 2), (5, 4)]","[(2, 2), (2, 3)]",11
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . . . . .\n1 X . . . . . . . .\n2 . . . . X . . . .\n3 X X X . . . . . .\n4 . . . . . X M . .\n5 . X . . X . M M .\n6 X . . . . . X M 3\n7 . . X . . . . . .\n8 . X . . . . X 2 1,"{1: (8, 8), 2: (8, 7), 3: (6, 8)}","[(5, 1), (6, 6), (3, 1), (6, 0), (7, 2), (5, 4), (8, 1), (3, 0), (8, 6), (1, 0), (4, 5), (3, 2), (2, 4)]","[(6, 7), (5, 7), (5, 6), (4, 6)]",20
9,  0 1 2 3 4 5 6 7 8\n0 S . X X X . X . .\n1 . . . . . X X . .\n2 . . . . 3 . . . .\n3 . X . . . . . . .\n4 . . . . . . . . X\n5 X M X . . . X . .\n6 . M M . X . X . X\n7 . . . X 2 . . . .\n8 . . 1 . . . X . .,"{1: (8, 2), 2: (7, 4), 3: (2, 4)}","[(6, 6), (5, 0), (6, 8), (5, 6), (0, 2), (8, 6), (0, 6), (6, 4), (4, 8), (0, 3), (5, 2), (1, 5), (3, 1), (7, 3), (1, 6), (0, 4)]","[(6, 2), (6, 1), (5, 1)]",20
9,  0 1 2 3 4 5 6 7 8\n0 S . X . . . X . X\n1 X . . . X . . . .\n2 X X 3 X X . . . X\n3 . . . . 1 . 2 . .\n4 . . X . . . X . X\n5 . . . X . . . . X\n6 . . X . . . . . .\n7 . X . . . . . . M\n8 . . . . . . . . M,"{1: (3, 4), 2: (3, 6), 3: (2, 2)}","[(2, 8), (4, 8), (1, 0), (2, 3), (2, 0), (2, 4), (6, 2), (7, 1), (1, 4), (2, 1), (5, 8), (4, 2), (0, 2), (0, 8), (0, 6), (4, 6), (5, 3)]","[(8, 8), (7, 8)]",18
9,  0 1 2 3 4 5 6 7 8\n0 S . X . . . X . .\n1 X . . . . . X X M\n2 . . . 2 . . . . M\n3 . . . X . . . . .\n4 . . . X . X . 3 X\n5 . X . . X . . . .\n6 . . . . . . . X .\n7 . . X . . X . . 1\n8 . X . . . . X . .,"{1: (7, 8), 2: (2, 3), 3: (4, 7)}","[(3, 3), (7, 2), (8, 6), (1, 6), (4, 3), (0, 2), (5, 1), (6, 7), (5, 4), (4, 5), (8, 1), (1, 0), (7, 5), (4, 8), (1, 7), (0, 6)]","[(1, 8), (2, 8)]",31
9,  0 1 2 3 4 5 6 7 8\n0 S X . . X X . 2 .\n1 . . . . . X . . X\n2 X . . X . . X . .\n3 X . . M M X . . X\n4 . . . . . . X . X\n5 . 3 X X X . . . .\n6 X . . . . . . X X\n7 . . . . . . . . .\n8 X X . . . . . . 1,"{1: (8, 8), 2: (0, 7), 3: (5, 1)}","[(0, 5), (8, 1), (4, 6), (2, 6), (0, 1), (5, 2), (2, 3), (6, 0), (1, 5), (5, 3), (2, 0), (6, 8), (3, 0), (1, 8), (3, 8), (8, 0), (5, 4), (6, 7), (0, 4), (3, 5), (4, 8)]","[(3, 4), (3, 3)]",40
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . . . X .\n1 . . . X M . . . .\n2 . . X . M M . . .\n3 . . . . . . . . 2\n4 . . . . X X . . X\n5 X . . . . . . . .\n6 . . . . . . . . .\n7 . . . 3 . . . X .\n8 . X 1 . . X X . X,"{1: (8, 2), 2: (3, 8), 3: (7, 3)}","[(7, 7), (8, 6), (2, 2), (4, 4), (8, 8), (5, 0), (4, 5), (8, 1), (0, 7), (4, 8), (1, 3), (8, 5)]","[(1, 4), (2, 4), (2, 5)]",30
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . . . 2 .\n1 . . . . . . . . X\n2 . X X . 1 . . . .\n3 . X X . . . . X .\n4 . X X . X X . . X\n5 X . . X . . 3 . X\n6 X . . . . . M X .\n7 X . . . X M M . X\n8 . . . . X X X . .,"{1: (2, 4), 2: (0, 7), 3: (5, 6)}","[(4, 1), (7, 0), (3, 7), (5, 8), (5, 0), (6, 0), (3, 1), (4, 4), (2, 1), (4, 8), (3, 2), (7, 4), (7, 8), (1, 8), (6, 7), (4, 5), (4, 2), (8, 6), (8, 5), (8, 4), (2, 2), (5, 3)]","[(6, 6), (7, 6), (7, 5)]",17
9,  0 1 2 3 4 5 6 7 8\n0 S . . . . . . X .\n1 X . X X . . 1 X X\n2 . . . . . . . . .\n3 . . . . 2 X X . .\n4 M M X . . X . . .\n5 M M . . . X . . .\n6 . . . . . X . . X\n7 . 3 X . . . X . .\n8 . . . . . . . . .,"{1: (1, 6), 2: (3, 4), 3: (7, 1)}","[(1, 0), (1, 3), (6, 5), (0, 7), (1, 8), (4, 2), (1, 2), (1, 7), (6, 8), (7, 2), (7, 6), (3, 6), (5, 5), (4, 5), (3, 5)]","[(5, 1), (5, 0), (4, 0), (4, 1)]",18
9,  0 1 2 3 4 5 6 7 8\n0 S . . . 3 . . . .\n1 . . . . . . . 2 .\n2 . . . . . . . . .\n3 . . . X . . . X 1\n4 . . . . . . . . .\n5 . . . X . . . . .\n6 X X . . . . . . .\n7 M M X . . . . . .\n8 X M M . X . X . X,"{1: (3, 8), 2: (1, 7), 3: (0, 4)}","[(3, 3), (8, 6), (5, 3), (6, 0), (8, 0), (7, 2), (3, 7), (6, 1), (8, 8), (8, 4)]","[(8, 2), (8, 1), (7, 1), (7, 0)]",18
9,  0 1 2 3 4 5 6 7 8\n0 S . . . 2 . . . .\n1 . . . . X . . . .\n2 . . . . . M M . .\n3 . . . 3 . . M . .\n4 . . . . . . M . .\n5 . . . . . . . . 1\n6 X . . . . X . . .\n7 X . X . . . . X .\n8 . . . . X . . . X,"{1: (5, 8), 2: (0, 4), 3: (3, 3)}","[(6, 0), (7, 0), (8, 4), (7, 2), (1, 4), (7, 7), (8, 8), (6, 5)]","[(4, 6), (3, 6), (2, 6), (2, 5)]",26
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . . . . M M M .\n1 . . . . . X . . . .\n2 X X . . . . . X . .\n3 . . 2 . X . . X . .\n4 . . . X . . 3 . X .\n5 . X . . . X . . . .\n6 . . . . X . . . . .\n7 . . . . . . . . . .\n8 . . . . X . . . . .\n9 . . 1 . . . . . . .,"{1: (9, 2), 2: (3, 2), 3: (4, 6)}","[(3, 7), (2, 1), (4, 3), (2, 0), (2, 7), (5, 1), (8, 4), (5, 5), (1, 5), (6, 4), (4, 8), (3, 4)]","[(0, 8), (0, 7), (0, 6)]",30
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . X . . X . . .\n1 . . . 3 . . . . X X\n2 . 2 . . . . . . . X\n3 1 . . . . . X . . X\n4 X . . . . . X X . .\n5 X X . . . . . . X X\n6 M X X . . X . . . .\n7 M . . . . X . . X .\n8 . . . . . . . . . .\n9 . X X X . X X . . .,"{1: (3, 0), 2: (2, 1), 3: (1, 3)}","[(5, 1), (7, 8), (3, 9), (3, 6), (9, 2), (1, 8), (5, 0), (2, 9), (4, 0), (6, 1), (7, 5), (0, 3), (5, 9), (6, 5), (9, 3), (4, 7), (5, 8), (6, 2), (4, 6), (9, 1), (9, 6), (1, 9), (9, 5), (0, 6)]","[(6, 0), (7, 0)]",8
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . . . . . . . .\n1 . . . . . X . . . .\n2 X . 2 . X X . . . .\n3 . . . . . . . . X .\n4 . 1 . X . . . . X .\n5 . . . . . . . X . .\n6 . M M . . . . . . .\n7 X . M . . . . . X .\n8 . . 3 X . . . X . .\n9 X . . . . . . X . .,"{1: (4, 1), 2: (2, 2), 3: (8, 2)}","[(9, 7), (1, 5), (3, 8), (4, 8), (8, 3), (2, 5), (2, 4), (2, 0), (8, 7), (7, 8), (7, 0), (5, 7), (4, 3), (9, 0)]","[(6, 1), (6, 2), (7, 2)]",14
10,  0 1 2 3 4 5 6 7 8 9\n0 S X X . X . . X . .\n1 . . 2 . . . X X . .\n2 X . . X X . . . X .\n3 . . . X 1 . . . X .\n4 . . . . X X . . . X\n5 . . . . . . . . . .\n6 . . . . X . X . . .\n7 . . . . . . X . X .\n8 . X . 3 X X M . X X\n9 . . . X X X M M M .,"{1: (3, 4), 2: (1, 2), 3: (8, 3)}","[(9, 3), (8, 9), (2, 8), (9, 4), (3, 3), (9, 5), (0, 7), (1, 7), (4, 9), (6, 6), (0, 2), (8, 4), (2, 3), (7, 6), (4, 4), (8, 8), (8, 5), (0, 4), (7, 8), (6, 4), (2, 0), (8, 1), (2, 4), (0, 1), (1, 6), (3, 8), (4, 5)]","[(8, 6), (9, 6), (9, 7), (9, 8)]",29
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . . . . . . . .\n1 . . . . X . . X . .\n2 . X X X . . . X . X\n3 M M . . . . . . X .\n4 . X . . . . . . . .\n5 . . . . . . . . . .\n6 X . . . . . . X . .\n7 X . . X . . . . 2 .\n8 1 . . X . . . . 3 .\n9 . X . . X X . . . .,"{1: (8, 0), 2: (7, 8), 3: (8, 8)}","[(2, 7), (9, 4), (2, 9), (7, 0), (7, 3), (2, 1), (2, 2), (6, 0), (1, 7), (9, 1), (2, 3), (9, 5), (8, 3), (1, 4), (3, 8), (6, 7), (4, 1)]","[(3, 0), (3, 1)]",22
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . . . X . X X .\n1 . X X . . . . . X .\n2 X . . . X . . . . 1\n3 X X . 2 . . . . . .\n4 X . . . . . . . X X\n5 . . X . . X . . . X\n6 . . . X . . . . M M\n7 . . . . . . . . 3 X\n8 X X . . . X . . X .\n9 X X . . . . . . . X,"{1: (2, 9), 2: (3, 3), 3: (7, 8)}","[(6, 3), (8, 1), (8, 5), (0, 8), (7, 9), (5, 2), (4, 0), (1, 2), (0, 7), (2, 0), (8, 0), (9, 0), (9, 9), (4, 8), (8, 8), (1, 1), (2, 4), (5, 5), (4, 9), (0, 5), (9, 1), (5, 9), (3, 1), (3, 0), (1, 8)]","[(6, 8), (6, 9)]",27
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . . X . . 1 . M\n1 . X . . . . . . 3 M\n2 2 X . . . . . . . M\n3 . X . X X X . . . M\n4 . . . X . X . . . .\n5 . . . . X . . . . .\n6 X . . . . . . . . .\n7 X X . . . . . . . .\n8 X . . . . . . . X .\n9 . . . . . . . . . .,"{1: (0, 7), 2: (2, 0), 3: (1, 8)}","[(5, 4), (7, 1), (2, 1), (3, 3), (3, 5), (8, 8), (1, 1), (8, 0), (4, 5), (6, 0), (4, 3), (7, 0), (3, 1), (3, 4), (0, 4)]","[(0, 9), (1, 9), (2, 9), (3, 9)]",31
