n,grid,goals,static,moving,BFS_steps
4,  0 1 2 3\n0 S . . 3\n1 . . 2 .\n2 1 . . .\n3 . X . .,"{1: (2, 0), 2: (1, 2), 3: (0, 3)}","[(3, 1)]",[],7
4,  0 1 2 3\n0 S . 3 .\n1 X . M M\n2 . . 1 X\n3 2 . . .,"{1: (2, 2), 2: (3, 0), 3: (0, 2)}","[(2, 3), (1, 0)]","[(1, 3), (1, 2)]",12
4,  0 1 2 3\n0 S . 2 .\n1 X . M M\n2 1 . X 3\n3 . . . .,"{1: (2, 0), 2: (0, 2), 3: (2, 3)}","[(1, 0), (2, 2)]","[(1, 3), (1, 2)]",11
4,  0 1 2 3\n0 S . . .\n1 . 3 . .\n2 1 . . .\n3 2 . X .,"{1: (2, 0), 2: (3, 0), 3: (1, 1)}","[(3, 2)]",[],6
4,  0 1 2 3\n0 S . . .\n1 1 . . X\n2 . . 3 2\n3 . . . .,"{1: (1, 0), 2: (2, 3), 3: (2, 2)}","[(1, 3)]",[],8
4,  0 1 2 3\n0 S X 1 .\n1 . . 3 .\n2 2 . . .\n3 . . . .,"{1: (0, 2), 2: (2, 0), 3: (1, 2)}","[(0, 1)]",[],17
4,  0 1 2 3\n0 S . 2 .\n1 X . 3 .\n2 1 . . .\n3 . X . .,"{1: (2, 0), 2: (0, 2), 3: (1, 2)}","[(3, 1), (1, 0)]",[],9
4,  0 1 2 3\n0 S . X .\n1 . . . X\n2 1 . . 2\n3 . . . 3,"{1: (2, 0), 2: (2, 3), 3: (3, 3)}","[(0, 2), (1, 3)]",[],6
4,  0 1 2 3\n0 S 1 X .\n1 M . . 3\n2 M 2 . .\n3 M . . .,"{1: (0, 1), 2: (2, 1), 3: (1, 3)}","[(0, 2)]","[(3, 0), (2, 0), (1, 0)]",6
4,  0 1 2 3\n0 S . . .\n1 2 X . 1\n2 X . 3 .\n3 . . . .,"{1: (1, 3), 2: (1, 0), 3: (2, 2)}","[(1, 1), (2, 0)]",[],14
4,  0 1 2 3\n0 S . X M\n1 2 . . M\n2 . . 3 X\n3 1 . . .,"{1: (3, 0), 2: (1, 0), 3: (2, 2)}","[(0, 2), (2, 3)]","[(1, 3), (0, 3)]",10
4,  0 1 2 3\n0 S . 2 .\n1 . X . 1\n2 . . . M\n3 X 3 . M,"{1: (1, 3), 2: (0, 2), 3: (3, 1)}","[(1, 1), (3, 0)]","[(3, 3), (2, 3)]",12
4,  0 1 2 3\n0 S . . .\n1 . 3 . .\n2 2 X X .\n3 1 . . .,"{1: (3, 0), 2: (2, 0), 3: (1, 1)}","[(2, 1), (2, 2)]",[],12
4,  0 1 2 3\n0 S . . .\n1 X . 1 2\n2 . . . X\n3 . . . 3,"{1: (1, 2), 2: (1, 3), 3: (3, 3)}","[(2, 3), (1, 0)]",[],8
4,  0 1 2 3\n0 S 3 . 1\n1 . . . X\n2 M 2 . .\n3 M M . .,"{1: (0, 3), 2: (2, 1), 3: (0, 1)}","[(1, 3)]","[(3, 1), (3, 0), (2, 0)]",11
4,  0 1 2 3\n0 S . . .\n1 . 1 . .\n2 . . . X\n3 2 3 . .,"{1: (1, 1), 2: (3, 0), 3: (3, 1)}","[(2, 3)]",[],6
4,  0 1 2 3\n0 S X 1 .\n1 . . . .\n2 . 3 . .\n3 2 X . .,"{1: (0, 2), 2: (3, 0), 3: (2, 1)}","[(3, 1), (0, 1)]",[],11
4,  0 1 2 3\n0 S . 3 .\n1 . . . .\n2 . 2 . .\n3 . 1 X .,"{1: (3, 1), 2: (2, 1), 3: (0, 2)}","[(3, 2)]",[],8
4,  0 1 2 3\n0 S . . .\n1 1 2 . .\n2 . . . .\n3 . . X 3,"{1: (1, 0), 2: (1, 1), 3: (3, 3)}","[(3, 2)]",[],6
4,  0 1 2 3\n0 S . . .\n1 . X . .\n2 . 1 . 3\n3 . . 2 .,"{1: (2, 1), 2: (3, 2), 3: (2, 3)}","[(1, 1)]",[],7
4,  0 1 2 3\n0 S . . .\n1 1 X . 2\n2 . . 3 X\n3 . . . .,"{1: (1, 0), 2: (1, 3), 3: (2, 2)}","[(2, 3), (1, 1)]",[],8
4,  0 1 2 3\n0 S . . .\n1 2 . . .\n2 . 1 . X\n3 . 3 . .,"{1: (2, 1), 2: (1, 0), 3: (3, 1)}","[(2, 3)]",[],8
4,  0 1 2 3\n0 S . M M\n1 . . . X\n2 1 X . 3\n3 . . . 2,"{1: (2, 0), 2: (3, 3), 3: (2, 3)}","[(1, 3), (2, 1)]","[(0, 2), (0, 3)]",7
4,  0 1 2 3\n0 S 3 . 2\n1 . . . .\n2 . 1 X M\n3 . X M M,"{1: (2, 1), 2: (0, 3), 3: (0, 1)}","[(3, 1), (2, 2)]","[(2, 3), (3, 3), (3, 2)]",9
4,  0 1 2 3\n0 S 1 X .\n1 . . . .\n2 X . . 3\n3 . 2 M M,"{1: (0, 1), 2: (3, 1), 3: (2, 3)}","[(2, 0), (0, 2)]","[(3, 2), (3, 3)]",7
4,  0 1 2 3\n0 S . . 3\n1 . X 1 .\n2 . . X .\n3 . . 2 .,"{1: (1, 2), 2: (3, 2), 3: (0, 3)}","[(1, 1), (2, 2)]",[],11
4,  0 1 2 3\n0 S . . .\n1 3 . . .\n2 2 . . .\n3 . 1 . X,"{1: (3, 1), 2: (2, 0), 3: (1, 0)}","[(3, 3)]",[],7
4,  0 1 2 3\n0 S . . 3\n1 . . X 2\n2 . X 1 .\n3 . . . .,"{1: (2, 2), 2: (1, 3), 3: (0, 3)}","[(2, 1), (1, 2)]",[],9
4,  0 1 2 3\n0 S . X .\n1 1 . . .\n2 . 2 . X\n3 . . . 3,"{1: (1, 0), 2: (2, 1), 3: (3, 3)}","[(0, 2), (2, 3)]",[],6
4,  0 1 2 3\n0 S 2 . .\n1 . 1 X .\n2 . . . 3\n3 . . . .,"{1: (1, 1), 2: (0, 1), 3: (2, 3)}","[(1, 2)]",[],7
4,  0 1 2 3\n0 S . M M\n1 2 . . M\n2 3 . . .\n3 . . X 1,"{1: (3, 3), 2: (1, 0), 3: (2, 0)}","[(3, 2)]","[(0, 2), (0, 3), (1, 3)]",12
4,  0 1 2 3\n0 S . 1 .\n1 X 3 . .\n2 . . . .\n3 X 2 . .,"{1: (0, 2), 2: (3, 1), 3: (1, 1)}","[(3, 0), (1, 0)]",[],8
4,  0 1 2 3\n0 S 2 M M\n1 . . M M\n2 X 1 . 3\n3 . . . .,"{1: (2, 1), 2: (0, 1), 3: (2, 3)}","[(2, 0)]","[(0, 3), (0, 2), (1, 2), (1, 3)]",9
4,  0 1 2 3\n0 S . . .\n1 1 . . .\n2 X . . 3\n3 2 . . X,"{1: (1, 0), 2: (3, 0), 3: (2, 3)}","[(3, 3), (2, 0)]",[],9
4,  0 1 2 3\n0 S . . .\n1 X . . X\n2 2 . . 3\n3 1 . . .,"{1: (3, 0), 2: (2, 0), 3: (2, 3)}","[(1, 3), (1, 0)]",[],9
4,  0 1 2 3\n0 S . X .\n1 . . . .\n2 3 2 . M\n3 X . 1 M,"{1: (3, 2), 2: (2, 1), 3: (2, 0)}","[(3, 0), (0, 2)]","[(2, 3), (3, 3)]",8
5,  0 1 2 3 4\n0 S . . . X\n1 . 1 . . .\n2 . . . . M\n3 . 2 . M M\n4 . . . 3 X,"{1: (1, 1), 2: (3, 1), 3: (4, 3)}","[(4, 4), (0, 4)]","[(2, 4), (3, 4), (3, 3)]",7
5,  0 1 2 3 4\n0 S . . . X\n1 . . X . .\n2 . . 1 . 3\n3 . . . . .\n4 2 X . . .,"{1: (2, 2), 2: (4, 0), 3: (2, 4)}","[(0, 4), (4, 1), (1, 2)]",[],14
5,  0 1 2 3 4\n0 S . . 3 .\n1 . . X . .\n2 . . 1 M M\n3 2 . . M M\n4 . X . . X,"{1: (2, 2), 2: (3, 0), 3: (0, 3)}","[(1, 2), (4, 1), (4, 4)]","[(2, 3), (2, 4), (3, 4), (3, 3)]",13
5,  0 1 2 3 4\n0 S . . 1 .\n1 . 3 M . .\n2 . . M M M\n3 2 . . . X\n4 . . . . .,"{1: (0, 3), 2: (3, 0), 3: (1, 1)}","[(3, 4)]","[(2, 4), (2, 3), (2, 2), (1, 2)]",12
5,  0 1 2 3 4\n0 S X 2 . 3\n1 . . . . X\n2 . . . . .\n3 X . 1 . .\n4 . . . . .,"{1: (3, 2), 2: (0, 2), 3: (0, 4)}","[(3, 0), (1, 4), (0, 1)]",[],10
5,  0 1 2 3 4\n0 S . . . .\n1 . 2 . . X\n2 . . . . .\n3 M . . . 3\n4 M 1 . . .,"{1: (4, 1), 2: (1, 1), 3: (3, 4)}","[(1, 4)]","[(3, 0), (4, 0)]",13
5,  0 1 2 3 4\n0 S X . . 2\n1 . . . . 3\n2 . . . . .\n3 1 X . M M\n4 . . . . .,"{1: (3, 0), 2: (0, 4), 3: (1, 4)}","[(0, 1), (3, 1)]","[(3, 3), (3, 4)]",11
5,  0 1 2 3 4\n0 S M M M .\n1 . . 1 . X\n2 . . 3 . .\n3 X . X . 2\n4 X . . . .,"{1: (1, 2), 2: (3, 4), 3: (2, 2)}","[(3, 0), (4, 0), (1, 4), (3, 2)]","[(0, 3), (0, 2), (0, 1)]",10
5,  0 1 2 3 4\n0 S . X . .\n1 . . . . 1\n2 . X X . .\n3 . . . . .\n4 2 . 3 . .,"{1: (1, 4), 2: (4, 0), 3: (4, 2)}","[(2, 2), (0, 2), (2, 1)]",[],14
5,  0 1 2 3 4\n0 S . X . X\n1 1 . . . .\n2 . . . . .\n3 X . 3 . .\n4 2 . . . .,"{1: (1, 0), 2: (4, 0), 3: (3, 2)}","[(0, 2), (3, 0), (0, 4)]",[],9
5,  0 1 2 3 4\n0 S . . . X\n1 X . M M M\n2 . . . . X\n3 . . . . .\n4 . 3 . 2 1,"{1: (4, 4), 2: (4, 3), 3: (4, 1)}","[(1, 0), (0, 4), (2, 4)]","[(1, 4), (1, 3), (1, 2)]",11
5,  0 1 2 3 4\n0 S X 3 X .\n1 . . . . .\n2 M M . . .\n3 M 1 . . .\n4 . . . X 2,"{1: (3, 1), 2: (4, 4), 3: (0, 2)}","[(0, 3), (4, 3), (0, 1)]","[(2, 1), (2, 0), (3, 0)]",14
5,  0 1 2 3 4\n0 S . X . .\n1 . . . X .\n2 . 3 . . .\n3 . 2 . . .\n4 . . . 1 X,"{1: (4, 3), 2: (3, 1), 3: (2, 1)}","[(1, 3), (4, 4), (0, 2)]",[],11
5,  0 1 2 3 4\n0 S . . . .\n1 . M M M 2\n2 . . . M .\n3 X . . 1 .\n4 . . X 3 .,"{1: (3, 3), 2: (1, 4), 3: (4, 3)}","[(3, 0), (4, 2)]","[(1, 1), (1, 2), (1, 3), (2, 3)]",13
5,  0 1 2 3 4\n0 S . . . X\n1 . . 1 . .\n2 2 3 . . .\n3 . . M M .\n4 X . M M X,"{1: (1, 2), 2: (2, 0), 3: (2, 1)}","[(0, 4), (4, 4), (4, 0)]","[(4, 3), (4, 2), (3, 2), (3, 3)]",7
5,  0 1 2 3 4\n0 S . X . 2\n1 . . 1 . .\n2 X 3 . . .\n3 . . . . .\n4 . X M M .,"{1: (1, 2), 2: (0, 4), 3: (2, 1)}","[(0, 2), (2, 0), (4, 1)]","[(4, 2), (4, 3)]",11
5,  0 1 2 3 4\n0 S 1 . . .\n1 . . . X 2\n2 . . . 3 .\n3 . X . . .\n4 X . . X .,"{1: (0, 1), 2: (1, 4), 3: (2, 3)}","[(3, 1), (4, 0), (4, 3), (1, 3)]",[],7
5,  0 1 2 3 4\n0 S X . X .\n1 . X . 3 M\n2 . . 1 . M\n3 . X . . M\n4 2 . . . M,"{1: (2, 2), 2: (4, 0), 3: (1, 3)}","[(3, 1), (1, 1), (0, 1), (0, 3)]","[(4, 4), (3, 4), (2, 4), (1, 4)]",14
5,  0 1 2 3 4\n0 S . . . 3\n1 . . X . .\n2 . X . . .\n3 2 . 1 . .\n4 . . . . .,"{1: (3, 2), 2: (3, 0), 3: (0, 4)}","[(1, 2), (2, 1)]",[],16
5,  0 1 2 3 4\n0 S . 3 2 .\n1 . . . . .\n2 . . . . .\n3 X . . . 1\n4 X . . . X,"{1: (3, 4), 2: (0, 3), 3: (0, 2)}","[(4, 4), (3, 0), (4, 0)]",[],12
5,  0 1 2 3 4\n0 S . . X .\n1 2 . . . .\n2 . . . . M\n3 . X . 1 M\n4 . 3 X . .,"{1: (3, 3), 2: (1, 0), 3: (4, 1)}","[(3, 1), (0, 3), (4, 2)]","[(3, 4), (2, 4)]",15
5,  0 1 2 3 4\n0 S X 1 . .\n1 . . . . .\n2 . . . 2 .\n3 3 . M M M\n4 . . X . M,"{1: (0, 2), 2: (2, 3), 3: (3, 0)}","[(0, 1), (4, 2)]","[(4, 4), (3, 4), (3, 3), (3, 2)]",11
5,  0 1 2 3 4\n0 S . . . .\n1 . . . . .\n2 . . 1 . .\n3 . . . . .\n4 . 2 3 . X,"{1: (2, 2), 2: (4, 1), 3: (4, 2)}","[(4, 4)]",[],8
5,  0 1 2 3 4\n0 S . . . .\n1 1 . X 3 .\n2 . . . 2 .\n3 . X . . .\n4 . X . . .,"{1: (1, 0), 2: (2, 3), 3: (1, 3)}","[(4, 1), (1, 2), (3, 1)]",[],6
5,  0 1 2 3 4\n0 S 1 X . .\n1 . . 2 . .\n2 . . . . X\n3 . . . . .\n4 . . . . 3,"{1: (0, 1), 2: (1, 2), 3: (4, 4)}","[(2, 4), (0, 2)]",[],8
5,  0 1 2 3 4\n0 S . . . .\n1 . . 2 . .\n2 . 1 3 . .\n3 X . . . X\n4 M M . . X,"{1: (2, 1), 2: (1, 2), 3: (2, 2)}","[(3, 4), (4, 4), (3, 0)]","[(4, 1), (4, 0)]",6
5,  0 1 2 3 4\n0 S . . . X\n1 3 2 X . .\n2 . . 1 . .\n3 . M M . .\n4 M M . . .,"{1: (2, 2), 2: (1, 1), 3: (1, 0)}","[(1, 2), (0, 4)]","[(4, 0), (4, 1), (3, 1), (3, 2)]",9
5,  0 1 2 3 4\n0 S . . X X\n1 . X . . .\n2 . . . . .\n3 . 2 . M M\n4 1 . 3 M M,"{1: (4, 0), 2: (3, 1), 3: (4, 2)}","[(1, 1), (0, 4), (0, 3)]","[(4, 3), (4, 4), (3, 4), (3, 3)]",8
5,  0 1 2 3 4\n0 S . . 1 .\n1 M . X . .\n2 M . 2 3 .\n3 M X . . X\n4 . X . . .,"{1: (0, 3), 2: (2, 2), 3: (2, 3)}","[(3, 1), (1, 2), (3, 4), (4, 1)]","[(3, 0), (2, 0), (1, 0)]",9
5,  0 1 2 3 4\n0 S . . . .\n1 . . . X .\n2 . X . . .\n3 . 3 . . 2\n4 . . . 1 .,"{1: (4, 3), 2: (3, 4), 3: (3, 1)}","[(1, 3), (2, 1)]",[],12
5,  0 1 2 3 4\n0 S . . . .\n1 3 X . . M\n2 X . . 1 M\n3 X . . . M\n4 . . . . 2,"{1: (2, 3), 2: (4, 4), 3: (1, 0)}","[(1, 1), (2, 0), (3, 0)]","[(3, 4), (2, 4), (1, 4)]",17
5,  0 1 2 3 4\n0 S . . . .\n1 . . . 3 .\n2 2 . X . .\n3 . . . . .\n4 1 . M M M,"{1: (4, 0), 2: (2, 0), 3: (1, 3)}","[(2, 2)]","[(4, 2), (4, 3), (4, 4)]",12
5,  0 1 2 3 4\n0 S . . 1 M\n1 . . . . M\n2 . . 2 . .\n3 . . . 3 .\n4 X . . . .,"{1: (0, 3), 2: (2, 2), 3: (3, 3)}","[(4, 0)]","[(0, 4), (1, 4)]",8
5,  0 1 2 3 4\n0 S . . . .\n1 . M M . .\n2 2 M X . 1\n3 . 3 . . .\n4 . . . X .,"{1: (2, 4), 2: (2, 0), 3: (3, 1)}","[(4, 3), (2, 2)]","[(1, 2), (1, 1), (2, 1)]",14
5,  0 1 2 3 4\n0 S M M M .\n1 . . . . .\n2 3 2 X 1 .\n3 X . . . .\n4 . . . . .,"{1: (2, 3), 2: (2, 1), 3: (2, 0)}","[(2, 2), (3, 0)]","[(0, 3), (0, 2), (0, 1)]",10
5,  0 1 2 3 4\n0 S . X . .\n1 . . . 2 3\n2 1 . . . .\n3 . . . . .\n4 . . . . .,"{1: (2, 0), 2: (1, 3), 3: (1, 4)}","[(0, 2)]",[],7
5,  0 1 2 3 4\n0 S . 3 . .\n1 . . . X M\n2 . . . M M\n3 . . X . .\n4 2 1 . . .,"{1: (4, 1), 2: (4, 0), 3: (0, 2)}","[(1, 3), (3, 2)]","[(1, 4), (2, 4), (2, 3)]",12
5,  0 1 2 3 4\n0 S . . . .\n1 . . X . .\n2 . . . X .\n3 1 . . . .\n4 . . X 3 2,"{1: (3, 0), 2: (4, 4), 3: (4, 3)}","[(1, 2), (4, 2), (2, 3)]",[],9
5,  0 1 2 3 4\n0 S . . . .\n1 . 1 X M M\n2 . . X . M\n3 . . X . .\n4 . 2 3 . .,"{1: (1, 1), 2: (4, 1), 3: (4, 2)}","[(2, 2), (3, 2), (1, 2)]","[(1, 3), (1, 4), (2, 4)]",6
5,  0 1 2 3 4\n0 S X X 2 .\n1 . . . . .\n2 . . . . .\n3 . . . . 1\n4 X . 3 X .,"{1: (3, 4), 2: (0, 3), 3: (4, 2)}","[(4, 0), (0, 1), (4, 3), (0, 2)]",[],16
